Title,Author,Genre,Description,Year,Average Rating,Number of Pages,Range
A Perfect Vacuum,Stanislaw Lem,Fiction,"In a perfect vacuum, Stanislaw Lem presents a collection of book reviews of nonexistent works of literature - works that, in many cases, could not possibly be written. Embracing postmodernism's ""games for games' sake"" ethos, Lem joins the contest with hilarious and grotesque results. Most of the ""reviews"" target the postmodern infatuation with antinarratives by lampooning their self-indulgence and exploiting their mannerisms. Lem exposes the limits of postmodern fiction, showing how its studious self-consciousness frequently conceals intellectual paucity. Beginning with a review of his own book, Lem moves on to tackle (or create pastiches of) the French new novel, James Joyce, pornography, authorless writing, and Dostoevsky, while at the same time ranging across scientific topics, from cosmology to the pervasiveness of computers.",1999,4.17,229,201 - 400
A Pinch of Poison,Claudia Bishop,Fiction,"Co-owners of the Hemlock Falls Inn, Sarah and Meg Quilliam are called upon to assist unpopular newspaperman Henrick Conway, a nosy reporter whose latest expose+a7 has resulted in the warning deaths of two of his relatives. Original.",1995,3.58,249,201 - 400
A Pinch of Snuff,Reginald Hill,Fiction,A routine visit to the dentist involves Police Inspector Pascoe in a bizarre case concerning the making of pornographic films in which people are actually killed on camera,1990,3.85,336,201 - 400
A Portrait of the Artist as a Young Man,James Joyce,Fiction,"Follows rebellious artist Stephen Dedalus from his days as a young student to the deep religious conflict he experiences at a day school in Dublin, to his college years, during which he challenges the conventions of his upbringing.",2006,3.61,256,201 - 400
A Power Governments Cannot Suppress,Howard Zinn,History,"A Power Governments Cannot Suppress is Howard Zinn’s major new collection of essays on American history, class, immigration, justice, and ordinary citizens who have made a difference.",2007,4.27,293,201 - 400
A Quantum Murder,Peter F. Hamilton,Fiction,"Professor Edward Kitchener's savage murder thrusts Psi-boosted veteran Greg Mandel into an urgent investigation that ends in a confrontation with a past that, according to Kitchener's theories, may never actually have happened. Reprint.",1998,3.97,375,201 - 400
A Quick Bite,Lynsay Sands,Fiction,"That hot guy tied to Lissianna Argeneau's bed? He's not dessert—he's the main course! Lissianna has been spending her centuries pining for Mr. Right, not just a quick snack, and this sexy guy she finds in her bed looks like he might be a candidate. But there's another, more pressing issue: her tendency to faint at the sight of blood . . . an especially annoying quirk for a vampire. Of course it doesn't hurt that this man has a delicious-looking neck. What kind of cold-blooded vampire woman could resist a bite of that? Dr. Gregory Hewitt recovers from the shock of waking up in a stranger's bedroom pretty quickly—once he sees a gorgeous woman about to treat him to a wild night of passion. But is it possible for the good doctor to find true love with a vampire vixen, or will he be just a good meal? That's a question Dr. Greg might be willing to sink his teeth into . . . if he can just get Lissianna to bite.",2005,3.91,360,201 - 400
A Quiver Full of Arrows,Jeffrey Archer,Fiction,"A collection of short stories by the author of As the Crow Flies features tales of the mysteries of a priceless antique, the chance ironies of big-city love, casual encounters, and life-long passions, in an anthology that includes ""One Night Stand,"" ""Old Love,"" and ""The Chinese Statue."" Reprint.",2005,3.78,288,201 - 400
A Room of One's Own,Virginia Woolf,Classics,"This story grew out of a lecture that Virginia Woolf had been invited to give at Girton College, Cambridge in 1928. It ranges over Jane Austen and Charlotte Bronte, the silent fate of Shakespeare's gifted and imaginary sister, and over the effects of poverty and chastity on female creativity.",2002,4.13,112,<201
A Saucer of Loneliness,Theodore Sturgeon,Fiction,"Kurt Vonnegut cites Theodore Sturgeon as the inspiration for his character Kilgore Trout. This volume includes 12 stories from 1953, considered Sturgeon's golden era. Among them are such favorites as the title story, ""The Silken-Swift,"" ""A Way of Thinking,"" ""The Dark Room,"" ""The Clinic,"" and ""The World Well Lost,"" a story known for being very ahead of its time in advocating gay rights.",2002,4.41,400,201 - 400
A Savage War of Peace,Alistair Horne,History,"Although war was never formally declared, the Algerian War lasted from 1954 to 1962. It caused six French governments to fall, led to the collapse of the Fourth Republic, brought De Gaulle back to power, and came close to provoking a civil war on French soil. More than a million Muslim Algerians died in the conflict and as many European settlers were driven into exile. Above all, the war was marked by an unholy marriage of revolutionary terror and state torture. The war made headlines around the world, and at the time it seemed like a French affair: Now, this brutal and intractable conflict looks less like the last colonial war than the first postmodern one--a full-dress rehearsal for the sort of amorphous struggle that convulsed the Balkans in the 1990s and that is now ravaging Iraq, and in which religion, nationalism, imperialism, and terrorism assume previously unimagined degrees of intensity.",2006,4.22,608,601 - 800
A Scanner Darkly,Philip K. Dick,Literary Fiction,"Substance D -- otherwise known as Death -- is the most dangerous drug ever to find its way on to the black market. It destroys the links between the brain's two hemispheres, leading first to disorentation and then to complete and irreversible brain damage. Bob Arctor, undercover narcotics agent, is trying to find a lead to the source of supply, but to pass as an addict he must become a user, and soon, without knowing what is happening to him, he is as dependent as any of the addicts he is monitoring.",2006,4.02,219,201 - 400
A Secret Splendor,Sandra Brown,Fiction,"Grieving over the death of her son, Arden Gentry hopes to ease her heart by finding her second child, the product of a scandalous affair, despite the fact that she would also have to encounter her ex-lover. Originally in paperback. 100,000 first printing.",1983,3.66,280,201 - 400
A Sentimental Education,Gustave Flaubert,Classics,"Frederic Moreau, a moderately gifted young provincial, is ambitious in many ways: he dreams of fame, of vast wealth, of literary and artistic achievement, of a grand passion. On the Paris paddle-steamer which transports him to his home town of Nogent-sur-Seine at the outset of the novel, he becomes transfixed by the demure Madame Arnoux and, back in Paris, cultivates her ebullient and enterprising husband in order to be near her. Frederic's devotion fluctuates like his other enthusiasms, and he is caught up in the intense pleasures and the inevitable ennuis of Parisian life.",2000,3.83,464,401 - 600
A Separate Peace,John Knowles,Fiction,"An American classic and great bestseller for over thirty years, A Separate Peace is timeless in its description of adolescence during a period when the entire country was losing its innocence to the second world war. Set at a boys’ boarding school in New England during the early years of World War II, A Separate Peace is a harrowing and luminous parable of the dark side of adolescence. Gene is a lonely, introverted intellectual. Phineas is a handsome, taunting, daredevil athlete. What happens between the two friends one summer, like the war itself, banishes the innocence of these boys and their world. A bestseller for more than thirty years, A Separate Peace is John Knowles’s crowning achievement and an undisputed American classic.",2003,3.57,208,201 - 400
